127.0.0.1 - - [29/Apr/2022:12:19:12 +0800] "GET / HTTP/1.1" 404 1068
0:0:0:0:0:0:0:1 - - [29/Apr/2022:12:19:13 +0800] "GET /webgl_engine_2020/draw.jsp HTTP/1.1" 200 3929
0:0:0:0:0:0:0:1 - - [29/Apr/2022:12:19:13 +0800] "GET /webgl_engine_2020/interface.jsp?function_name=construct_render_object HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [29/Apr/2022:12:19:13 +0800] "GET /webgl_engine_2020/interface.jsp?channel=process_bar&command=request HTTP/1.1" 200 77
0:0:0:0:0:0:0:1 - - [29/Apr/2022:12:19:13 +0800] "GET /webgl_engine_2020/interface.jsp?channel=process_bar&command=data&language=chinese&process_bar=0 HTTP/1.1" 200 149
0:0:0:0:0:0:0:1 - - [29/Apr/2022:12:19:13 +0800] "GET /favicon.ico HTTP/1.1" 404 1079
0:0:0:0:0:0:0:1 - - [29/Apr/2022:12:19:14 +0800] "GET /webgl_engine_2020/interface.jsp?channel=process_bar&command=data&language=chinese&process_bar=0 HTTP/1.1" 200 159
0:0:0:0:0:0:0:1 - - [29/Apr/2022:12:19:15 +0800] "GET /webgl_engine_2020/interface.jsp?channel=process_bar&command=data&language=chinese&process_bar=0 HTTP/1.1" 200 158
0:0:0:0:0:0:0:1 - - [29/Apr/2022:12:19:15 +0800] "GET /webgl_engine_2020/interface.jsp?channel=creation&command=creation&language=chinese&user_name=NoName&pass_word=NoPassword&scene_name=&link_name=&change_part=&change_component=&part_type=&max_loading_number=10&sub_directory=&coordinate=xyz&process_bar=0 HTTP/1.1" 200 1015
0:0:0:0:0:0:0:1 - - [29/Apr/2022:12:19:16 +0800] "GET /webgl_engine_2020/interface.jsp?channel=61280482603900&user_name=NoName&pass_word=NoPassword&process_bar=0&language=chinese&command=component&method=update_render&aspect=2.161662817551963&component=-1&body=-1&face=-1&loop=-1&edge=-1&vertex=-1&point=-1&depth=-1.00000&value=-1.00000&loaded_length=0_0_-1_-1&requesting_number=0_1&data_time=1&render_time=1&read_time=0&render_interval=1651205956069&precision=true&length=440 HTTP/1.1" 200 858
0:0:0:0:0:0:0:1 - - [29/Apr/2022:12:19:16 +0800] "GET /webgl_engine_2020/interface.jsp?channel=61280482603900&user_name=NoName&pass_word=NoPassword&process_bar=0&language=chinese&command=component&method=update_render&loaded_length=1_117902_9_0&requesting_number=2_1&data_time=1&render_time=3&read_time=0&render_interval=26&precision=true&length=313 HTTP/1.1" 200 571
0:0:0:0:0:0:0:1 - - [29/Apr/2022:12:19:16 +0800] "GET /webgl_engine_2020/interface.jsp?channel=61280482603900&user_name=NoName&pass_word=NoPassword&process_bar=0&language=chinese&command=component&method=update_render&loaded_length=3_4321402_9_0&requesting_number=0_2&data_time=0&render_time=2&read_time=0&render_interval=17&precision=true&length=314 HTTP/1.1" 200 791
0:0:0:0:0:0:0:1 - - [29/Apr/2022:12:19:16 +0800] "GET /webgl_engine_2020/interface.jsp?channel=61280482603900&user_name=NoName&pass_word=NoPassword&process_bar=0&language=chinese&command=component&method=event&event_component_id=24&event_driver_id=0&operation=audio&fresh=0.33916279149936646 HTTP/1.1" 200 5
