127.0.0.1 - - [23/Apr/2022:20:38:55 +0800] "GET / HTTP/1.1" 404 1068
0:0:0:0:0:0:0:1 - - [23/Apr/2022:20:38:56 +0800] "GET /webgl_engine_2020/draw.jsp HTTP/1.1" 200 1718
0:0:0:0:0:0:0:1 - - [23/Apr/2022:20:38:57 +0800] "GET /webgl_engine_2020/interface.jsp?function_name=construct_render_object HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [23/Apr/2022:20:38:57 +0800] "GET /favicon.ico HTTP/1.1" 404 1079
0:0:0:0:0:0:0:1 - - [23/Apr/2022:20:38:57 +0800] "GET /webgl_engine_2020/interface.jsp?channel=process_bar&command=request HTTP/1.1" 200 77
0:0:0:0:0:0:0:1 - - [23/Apr/2022:20:38:57 +0800] "GET /webgl_engine_2020/interface.jsp?channel=process_bar&command=data&language=chinese&process_bar=0 HTTP/1.1" 200 149
0:0:0:0:0:0:0:1 - - [23/Apr/2022:20:38:58 +0800] "GET /webgl_engine_2020/interface.jsp?channel=process_bar&command=data&language=chinese&process_bar=0 HTTP/1.1" 200 159
0:0:0:0:0:0:0:1 - - [23/Apr/2022:20:38:59 +0800] "GET /webgl_engine_2020/interface.jsp?channel=process_bar&command=data&language=chinese&process_bar=0 HTTP/1.1" 200 159
0:0:0:0:0:0:0:1 - - [23/Apr/2022:20:39:00 +0800] "GET /webgl_engine_2020/interface.jsp?channel=process_bar&command=data&language=chinese&process_bar=0 HTTP/1.1" 200 159
0:0:0:0:0:0:0:1 - - [23/Apr/2022:20:39:01 +0800] "GET /webgl_engine_2020/interface.jsp?channel=process_bar&command=data&language=chinese&process_bar=0 HTTP/1.1" 200 159
0:0:0:0:0:0:0:1 - - [23/Apr/2022:20:39:02 +0800] "GET /webgl_engine_2020/interface.jsp?channel=process_bar&command=data&language=chinese&process_bar=0 HTTP/1.1" 200 159
0:0:0:0:0:0:0:1 - - [23/Apr/2022:20:39:03 +0800] "GET /webgl_engine_2020/interface.jsp?channel=process_bar&command=data&language=chinese&process_bar=0 HTTP/1.1" 200 159
0:0:0:0:0:0:0:1 - - [23/Apr/2022:20:39:04 +0800] "GET /webgl_engine_2020/interface.jsp?channel=process_bar&command=data&language=chinese&process_bar=0 HTTP/1.1" 200 159
0:0:0:0:0:0:0:1 - - [23/Apr/2022:20:39:05 +0800] "GET /webgl_engine_2020/interface.jsp?channel=process_bar&command=data&language=chinese&process_bar=0 HTTP/1.1" 200 159
0:0:0:0:0:0:0:1 - - [23/Apr/2022:20:39:06 +0800] "GET /webgl_engine_2020/interface.jsp?channel=process_bar&command=data&language=chinese&process_bar=0 HTTP/1.1" 200 159
