127.0.0.1 - - [13/Oct/2021:00:32:17 +0800] "GET / HTTP/1.1" 404 1068
0:0:0:0:0:0:0:1 - - [13/Oct/2021:00:32:20 +0800] "GET /webgl_engine_2020/chinese/draw.jsp HTTP/1.1" 200 2520
0:0:0:0:0:0:0:1 - - [13/Oct/2021:00:32:21 +0800] "GET /webgl_engine_2020/interface.jsp?function_name=construct_render_object HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [13/Oct/2021:00:32:21 +0800] "GET /favicon.ico HTTP/1.1" 404 1079
0:0:0:0:0:0:0:1 - - [13/Oct/2021:00:32:21 +0800] "GET /webgl_engine_2020/interface.jsp?channel=process_bar&command=request HTTP/1.1" 200 77
0:0:0:0:0:0:0:1 - - [13/Oct/2021:00:32:21 +0800] "GET /webgl_engine_2020/interface.jsp?channel=process_bar&command=data&language=chinese&process_bar=0 HTTP/1.1" 200 149
0:0:0:0:0:0:0:1 - - [13/Oct/2021:00:32:22 +0800] "GET /webgl_engine_2020/interface.jsp?channel=process_bar&command=data&language=chinese&process_bar=0 HTTP/1.1" 200 159
0:0:0:0:0:0:0:1 - - [13/Oct/2021:00:32:23 +0800] "GET /webgl_engine_2020/interface.jsp?channel=process_bar&command=data&language=chinese&process_bar=0 HTTP/1.1" 200 159
0:0:0:0:0:0:0:1 - - [13/Oct/2021:00:32:24 +0800] "GET /webgl_engine_2020/interface.jsp?channel=process_bar&command=data&language=chinese&process_bar=0 HTTP/1.1" 200 159
0:0:0:0:0:0:0:1 - - [13/Oct/2021:00:32:25 +0800] "GET /webgl_engine_2020/interface.jsp?channel=process_bar&command=data&language=chinese&process_bar=0 HTTP/1.1" 200 159
0:0:0:0:0:0:0:1 - - [13/Oct/2021:00:32:26 +0800] "GET /webgl_engine_2020/interface.jsp?channel=process_bar&command=data&language=chinese&process_bar=0 HTTP/1.1" 200 159
