127.0.0.1 - - [22/Sep/2021:19:40:53 +0800] "GET / HTTP/1.1" 404 1068
0:0:0:0:0:0:0:1 - - [22/Sep/2021:19:40:53 +0800] "GET /webgl_engine_2020/chinese/draw.jsp?change_part=display_part:inp_part_0 HTTP/1.1" 200 4321
0:0:0:0:0:0:0:1 - - [22/Sep/2021:19:40:53 +0800] "GET /webgl_engine_2020/interface.jsp?function_name=construct_render_object HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [22/Sep/2021:19:40:53 +0800] "GET /favicon.ico HTTP/1.1" 404 1079
0:0:0:0:0:0:0:1 - - [22/Sep/2021:19:40:53 +0800] "GET /webgl_engine_2020/interface.jsp?channel=process_bar&command=request HTTP/1.1" 200 12
0:0:0:0:0:0:0:1 - - [22/Sep/2021:19:40:53 +0800] "GET /webgl_engine_2020/interface.jsp?channel=process_bar&command=data&language=chinese&process_bar=0 HTTP/1.1" 200 172
0:0:0:0:0:0:0:1 - - [22/Sep/2021:19:40:54 +0800] "GET /webgl_engine_2020/chinese/draw.jsp HTTP/1.1" 200 4298
0:0:0:0:0:0:0:1 - - [22/Sep/2021:19:40:54 +0800] "GET /webgl_engine_2020/interface.jsp?function_name=construct_render_object HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [22/Sep/2021:19:40:54 +0800] "GET /webgl_engine_2020/interface.jsp?channel=process_bar&command=request HTTP/1.1" 200 12
0:0:0:0:0:0:0:1 - - [22/Sep/2021:19:40:54 +0800] "GET /webgl_engine_2020/interface.jsp?channel=process_bar&command=data&language=chinese&process_bar=1 HTTP/1.1" 200 172
0:0:0:0:0:0:0:1 - - [22/Sep/2021:19:40:54 +0800] "GET /webgl_engine_2020/interface.jsp?channel=process_bar&command=data&language=chinese&process_bar=1 HTTP/1.1" 200 183
0:0:0:0:0:0:0:1 - - [22/Sep/2021:19:40:55 +0800] "GET /webgl_engine_2020/interface.jsp?channel=process_bar&command=data&language=chinese&process_bar=0 HTTP/1.1" 200 185
0:0:0:0:0:0:0:1 - - [22/Sep/2021:19:40:55 +0800] "GET /webgl_engine_2020/interface.jsp?channel=process_bar&command=data&language=chinese&process_bar=1 HTTP/1.1" 200 185
0:0:0:0:0:0:0:1 - - [22/Sep/2021:19:40:56 +0800] "GET /webgl_engine_2020/interface.jsp?channel=process_bar&command=data&language=chinese&process_bar=1 HTTP/1.1" 200 185
0:0:0:0:0:0:0:1 - - [22/Sep/2021:19:40:56 +0800] "GET /webgl_engine_2020/interface.jsp?channel=process_bar&command=data&language=chinese&process_bar=0 HTTP/1.1" 200 185
0:0:0:0:0:0:0:1 - - [22/Sep/2021:19:40:56 +0800] "GET /webgl_engine_2020/interface.jsp?channel=process_bar&command=data&language=chinese&process_bar=1 HTTP/1.1" 200 185
