127.0.0.1 - - [25/Aug/2021:22:13:40 +0800] "GET / HTTP/1.1" 404 1068
0:0:0:0:0:0:0:1 - - [25/Aug/2021:22:13:43 +0800] "GET /webgl_engine_2020/chinese/draw.jsp HTTP/1.1" 200 2426
0:0:0:0:0:0:0:1 - - [25/Aug/2021:22:13:43 +0800] "GET /webgl_engine_2020/interface.jsp?function_name=construct_render_object HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [25/Aug/2021:22:13:43 +0800] "GET /webgl_engine_2020/interface.jsp?function_name=construct_render_object&function_date=1629900723766 HTTP/1.1" 200 167452
0:0:0:0:0:0:0:1 - - [25/Aug/2021:22:13:43 +0800] "GET /favicon.ico HTTP/1.1" 404 1079
0:0:0:0:0:0:0:1 - - [25/Aug/2021:22:14:29 +0800] "GET /webgl_engine_2020/interface.jsp?channel=creation&command=creation&language=chinese&user_name=NoName&pass_word=NoPassword&scene_name=test&link_name=&change_part=&change_component=&part_type=&sub_directory=&coordinate=xyz&max_loading_number=5 HTTP/1.1" 200 533
0:0:0:0:0:0:0:1 - - [25/Aug/2021:22:14:29 +0800] "GET /webgl_engine_2020/interface.jsp?channel=buffer&file=scene_directory%252Ftest_directory%252Ftest%252Fproxy_initialization.gzip_text&length=36774&date=1629900869742&original=http%253A%252F%252Flocalhost%253A8080%252Fwebgl_engine_2020%252Finterface.jsp HTTP/1.1" 200 36818
0:0:0:0:0:0:0:1 - - [25/Aug/2021:22:14:31 +0800] "GET /webgl_engine_2020/interface.jsp?command=component&method=update_render&channel=0&user_name=NoName&pass_word=NoPassword&language=chinese&aspect=2.1611226611226613&component=-1&body=0;-1&face=0;-1&loop=0;-1&edge=0;-1&vertex=0;-1&point=-1&depth=-1.00000&value=-1.00000&loaded_length=0_0_-1_-1&requesting_number=0_1&data_time=1&render_time=1&read_time=0&render_interval=1629900871605&length=401 HTTP/1.1" 200 761
0:0:0:0:0:0:0:1 - - [25/Aug/2021:22:14:31 +0800] "GET /webgl_engine_2020/interface.jsp?command=component&method=update_render&channel=0&user_name=NoName&pass_word=NoPassword&language=chinese&requesting_number=1_1&data_time=1&render_time=2&read_time=0&render_interval=164&length=237 HTTP/1.1" 200 558
0:0:0:0:0:0:0:1 - - [25/Aug/2021:22:14:31 +0800] "GET /webgl_engine_2020/interface.jsp?command=component&method=update_render&channel=0&user_name=NoName&pass_word=NoPassword&language=chinese&loaded_length=1_116715_12_0&requesting_number=2_2&data_time=0&render_time=3&read_time=0&render_interval=156&length=265 HTTP/1.1" 200 927
0:0:0:0:0:0:0:1 - - [25/Aug/2021:22:14:32 +0800] "GET /webgl_engine_2020/interface.jsp?command=component&method=update_render&channel=0&user_name=NoName&pass_word=NoPassword&language=chinese&loaded_length=3_4320215_12_0&requesting_number=0_3&data_time=0&render_time=18&read_time=0&render_interval=170&length=267 HTTP/1.1" 200 503
0:0:0:0:0:0:0:1 - - [25/Aug/2021:22:14:32 +0800] "GET /webgl_engine_2020/interface.jsp?channel=0&user_name=NoName&pass_word=NoPassword&language=chinese&command=component&method=event&event_component_id=26&event_driver_id=0&operation=audio&fresh=0.5128787701239057 HTTP/1.1" 200 5
0:0:0:0:0:0:0:1 - - [25/Aug/2021:22:14:32 +0800] "GET /webgl_engine_2020/interface.jsp?channel=0&user_name=NoName&pass_word=NoPassword&language=chinese&command=component&method=event&event_component_id=57&event_driver_id=0&random=0.23229744974080346&operation=file&file=no_box.jpg HTTP/1.1" 302 -
