127.0.0.1 - - [09/Jun/2022:12:30:32 +0800] "GET / HTTP/1.1" 404 1068
0:0:0:0:0:0:0:1 - - [09/Jun/2022:12:30:33 +0800] "GET /webgl_engine_2020/draw.jsp HTTP/1.1" 200 3732
0:0:0:0:0:0:0:1 - - [09/Jun/2022:12:30:34 +0800] "GET /webgl_engine_2020/interface.jsp?function_name=construct_render_object HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [09/Jun/2022:12:30:34 +0800] "GET /favicon.ico HTTP/1.1" 404 1079
0:0:0:0:0:0:0:1 - - [09/Jun/2022:12:30:34 +0800] "GET /webgl_engine_2020/interface.jsp?channel=process_bar&command=request HTTP/1.1" 200 77
0:0:0:0:0:0:0:1 - - [09/Jun/2022:12:30:34 +0800] "GET /webgl_engine_2020/interface.jsp?channel=process_bar&command=data&language=chinese&process_bar=0 HTTP/1.1" 200 150
0:0:0:0:0:0:0:1 - - [09/Jun/2022:12:30:35 +0800] "GET /webgl_engine_2020/interface.jsp?channel=process_bar&command=data&language=chinese&process_bar=0 HTTP/1.1" 200 160
0:0:0:0:0:0:0:1 - - [09/Jun/2022:12:30:37 +0800] "GET /webgl_engine_2020/interface.jsp?channel=process_bar&command=data&language=chinese&process_bar=0 HTTP/1.1" 200 160
0:0:0:0:0:0:0:1 - - [09/Jun/2022:12:30:38 +0800] "GET /webgl_engine_2020/interface.jsp?channel=process_bar&command=data&language=chinese&process_bar=0 HTTP/1.1" 200 160
0:0:0:0:0:0:0:1 - - [09/Jun/2022:12:30:38 +0800] "GET /webgl_engine_2020/draw.jsp?scene_name=cad&coordinate=location.xyz.txt&sub_directory=A159-SR-302A HTTP/1.1" 200 3760
0:0:0:0:0:0:0:1 - - [09/Jun/2022:12:30:38 +0800] "GET /webgl_engine_2020/interface.jsp?function_name=construct_render_object HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [09/Jun/2022:12:30:39 +0800] "GET /webgl_engine_2020/interface.jsp?channel=process_bar&command=request HTTP/1.1" 200 77
0:0:0:0:0:0:0:1 - - [09/Jun/2022:12:30:39 +0800] "GET /webgl_engine_2020/interface.jsp?channel=process_bar&command=data&language=chinese&process_bar=1 HTTP/1.1" 200 148
0:0:0:0:0:0:0:1 - - [09/Jun/2022:12:30:40 +0800] "GET /webgl_engine_2020/interface.jsp?channel=process_bar&command=data&language=chinese&process_bar=1 HTTP/1.1" 200 160
0:0:0:0:0:0:0:1 - - [09/Jun/2022:12:30:41 +0800] "GET /webgl_engine_2020/interface.jsp?channel=process_bar&command=data&language=chinese&process_bar=1 HTTP/1.1" 200 160
0:0:0:0:0:0:0:1 - - [09/Jun/2022:12:30:42 +0800] "GET /webgl_engine_2020/interface.jsp?channel=process_bar&command=data&language=chinese&process_bar=1 HTTP/1.1" 200 160
0:0:0:0:0:0:0:1 - - [09/Jun/2022:12:30:43 +0800] "GET /webgl_engine_2020/interface.jsp?channel=process_bar&command=data&language=chinese&process_bar=1 HTTP/1.1" 200 160
0:0:0:0:0:0:0:1 - - [09/Jun/2022:12:30:44 +0800] "GET /webgl_engine_2020/interface.jsp?channel=process_bar&command=data&language=chinese&process_bar=1 HTTP/1.1" 200 160
0:0:0:0:0:0:0:1 - - [09/Jun/2022:12:30:45 +0800] "GET /webgl_engine_2020/interface.jsp?channel=process_bar&command=data&language=chinese&process_bar=1 HTTP/1.1" 200 160
0:0:0:0:0:0:0:1 - - [09/Jun/2022:12:30:46 +0800] "GET /webgl_engine_2020/interface.jsp?channel=process_bar&command=data&language=chinese&process_bar=1 HTTP/1.1" 200 160
0:0:0:0:0:0:0:1 - - [09/Jun/2022:12:30:47 +0800] "GET /webgl_engine_2020/interface.jsp?channel=process_bar&command=data&language=chinese&process_bar=1 HTTP/1.1" 200 160
0:0:0:0:0:0:0:1 - - [09/Jun/2022:12:30:48 +0800] "GET /webgl_engine_2020/interface.jsp?channel=process_bar&command=data&language=chinese&process_bar=1 HTTP/1.1" 200 160
0:0:0:0:0:0:0:1 - - [09/Jun/2022:12:30:49 +0800] "GET /webgl_engine_2020/interface.jsp?channel=process_bar&command=data&language=chinese&process_bar=1 HTTP/1.1" 200 162
0:0:0:0:0:0:0:1 - - [09/Jun/2022:12:30:50 +0800] "GET /webgl_engine_2020/interface.jsp?channel=process_bar&command=data&language=chinese&process_bar=1 HTTP/1.1" 200 162
0:0:0:0:0:0:0:1 - - [09/Jun/2022:12:30:51 +0800] "GET /webgl_engine_2020/interface.jsp?channel=process_bar&command=data&language=chinese&process_bar=1 HTTP/1.1" 200 162
0:0:0:0:0:0:0:1 - - [09/Jun/2022:12:30:52 +0800] "GET /webgl_engine_2020/interface.jsp?channel=process_bar&command=data&language=chinese&process_bar=1 HTTP/1.1" 200 162
0:0:0:0:0:0:0:1 - - [09/Jun/2022:12:30:53 +0800] "GET /webgl_engine_2020/interface.jsp?channel=process_bar&command=data&language=chinese&process_bar=1 HTTP/1.1" 200 162
0:0:0:0:0:0:0:1 - - [09/Jun/2022:12:30:54 +0800] "GET /webgl_engine_2020/interface.jsp?channel=process_bar&command=data&language=chinese&process_bar=1 HTTP/1.1" 200 162
0:0:0:0:0:0:0:1 - - [09/Jun/2022:12:30:55 +0800] "GET /webgl_engine_2020/interface.jsp?channel=process_bar&command=data&language=chinese&process_bar=1 HTTP/1.1" 200 162
0:0:0:0:0:0:0:1 - - [09/Jun/2022:12:30:56 +0800] "GET /webgl_engine_2020/interface.jsp?channel=process_bar&command=data&language=chinese&process_bar=1 HTTP/1.1" 200 162
0:0:0:0:0:0:0:1 - - [09/Jun/2022:12:30:57 +0800] "GET /webgl_engine_2020/interface.jsp?channel=process_bar&command=data&language=chinese&process_bar=1 HTTP/1.1" 200 162
0:0:0:0:0:0:0:1 - - [09/Jun/2022:12:30:58 +0800] "GET /webgl_engine_2020/interface.jsp?channel=process_bar&command=data&language=chinese&process_bar=1 HTTP/1.1" 200 162
0:0:0:0:0:0:0:1 - - [09/Jun/2022:12:30:59 +0800] "GET /webgl_engine_2020/interface.jsp?channel=process_bar&command=data&language=chinese&process_bar=1 HTTP/1.1" 200 158
0:0:0:0:0:0:0:1 - - [09/Jun/2022:12:30:59 +0800] "GET /webgl_engine_2020/interface.jsp?channel=creation&command=creation&language=chinese&user_name=NoName&pass_word=NoPassword&scene_name=&link_name=&change_part=&change_component=&part_type=&max_loading_number=10&sub_directory=&coordinate=xyz&process_bar=0 HTTP/1.1" 200 1083
0:0:0:0:0:0:0:1 - - [09/Jun/2022:12:31:00 +0800] "GET /webgl_engine_2020/interface.jsp?channel=process_bar&command=data&language=chinese&process_bar=1 HTTP/1.1" 200 165
0:0:0:0:0:0:0:1 - - [09/Jun/2022:12:31:01 +0800] "GET /webgl_engine_2020/interface.jsp?channel=process_bar&command=data&language=chinese&process_bar=1 HTTP/1.1" 200 166
0:0:0:0:0:0:0:1 - - [09/Jun/2022:12:31:02 +0800] "GET /webgl_engine_2020/interface.jsp?channel=process_bar&command=data&language=chinese&process_bar=1 HTTP/1.1" 200 166
0:0:0:0:0:0:0:1 - - [09/Jun/2022:12:31:03 +0800] "GET /webgl_engine_2020/interface.jsp?channel=process_bar&command=data&language=chinese&process_bar=1 HTTP/1.1" 200 166
0:0:0:0:0:0:0:1 - - [09/Jun/2022:12:31:04 +0800] "GET /webgl_engine_2020/interface.jsp?channel=process_bar&command=data&language=chinese&process_bar=1 HTTP/1.1" 200 166
0:0:0:0:0:0:0:1 - - [09/Jun/2022:12:31:05 +0800] "GET /webgl_engine_2020/interface.jsp?channel=process_bar&command=data&language=chinese&process_bar=1 HTTP/1.1" 200 166
0:0:0:0:0:0:0:1 - - [09/Jun/2022:12:31:06 +0800] "GET /webgl_engine_2020/interface.jsp?channel=process_bar&command=data&language=chinese&process_bar=1 HTTP/1.1" 200 154
0:0:0:0:0:0:0:1 - - [09/Jun/2022:12:31:07 +0800] "GET /webgl_engine_2020/interface.jsp?channel=process_bar&command=data&language=chinese&process_bar=1 HTTP/1.1" 200 167
0:0:0:0:0:0:0:1 - - [09/Jun/2022:12:31:08 +0800] "GET /webgl_engine_2020/interface.jsp?channel=process_bar&command=data&language=chinese&process_bar=1 HTTP/1.1" 200 168
0:0:0:0:0:0:0:1 - - [09/Jun/2022:12:31:09 +0800] "GET /webgl_engine_2020/interface.jsp?channel=process_bar&command=data&language=chinese&process_bar=1 HTTP/1.1" 200 163
0:0:0:0:0:0:0:1 - - [09/Jun/2022:12:31:09 +0800] "GET /webgl_engine_2020/interface.jsp?channel=creation&command=creation&language=chinese&user_name=NoName&pass_word=NoPassword&scene_name=cad&link_name=&change_part=&change_component=&part_type=&max_loading_number=10&sub_directory=A159-SR-302A&coordinate=location.xyz.txt&process_bar=1 HTTP/1.1" 200 1082
0:0:0:0:0:0:0:1 - - [09/Jun/2022:12:31:09 +0800] "GET /webgl_engine_2020/interface.jsp?channel=buffer&file=scene_directory%252Fcad_directory%252Fcad%252FA159-SR-302A%252Finitialization.gzip_text&length=60752&date=1654749069375&original=http%253A%252F%252Flocalhost%253A8080%252Fwebgl_engine_2020%252Finterface.jsp HTTP/1.1" 200 60820
0:0:0:0:0:0:0:1 - - [09/Jun/2022:12:31:10 +0800] "GET /webgl_engine_2020/interface.jsp?channel=1100557989358400&user_name=NoName&pass_word=NoPassword&process_bar=1&language=chinese&command=component&method=event&event_component_name=%25E4%25BA%25A4%25E4%25BA%2592%25E7%2595%258C%25E9%259D%25A2%25E8%258F%259C%25E5%258D%2595%25E5%259B%25BE%25E6%25A0%2587%25E5%258F%25B3&event_driver_id=all&x0=1&y0=1&all_in_view=all_in_view&operation=show HTTP/1.1" 200 5
0:0:0:0:0:0:0:1 - - [09/Jun/2022:12:31:10 +0800] "GET /webgl_engine_2020/interface.jsp?channel=1100557989358400&user_name=NoName&pass_word=NoPassword&process_bar=1&language=chinese&command=component&method=event&event_component_name=%25E4%25BA%25A4%25E4%25BA%2592%25E7%2595%258C%25E9%259D%25A2%25E8%258F%259C%25E5%258D%2595%25E5%259B%25BE%25E6%25A0%2587%25E5%25B7%25A6&event_driver_id=all&x0=-1&y0=1&all_in_view=all_in_view&operation=show HTTP/1.1" 200 5
0:0:0:0:0:0:0:1 - - [09/Jun/2022:12:31:10 +0800] "GET /webgl_engine_2020/interface.jsp?channel=1100557989358400&user_name=NoName&pass_word=NoPassword&process_bar=1&language=chinese&command=component&method=event&event_component_name=%25E4%25BA%25A4%25E4%25BA%2592%25E7%2595%258C%25E9%259D%25A2%25E8%258F%259C%25E5%258D%2595%25E5%259B%25BE%25E6%25A0%2587%25E5%258F%25B3&event_driver_id=all&operation=hide HTTP/1.1" 200 5
0:0:0:0:0:0:0:1 - - [09/Jun/2022:12:31:10 +0800] "GET /webgl_engine_2020/interface.jsp?channel=1100557989358400&user_name=NoName&pass_word=NoPassword&process_bar=1&language=chinese&command=component&method=event&event_component_name=%25E4%25BA%25A4%25E4%25BA%2592%25E7%2595%258C%25E9%259D%25A2%25E8%258F%259C%25E5%258D%2595%25E5%259B%25BE%25E6%25A0%2587%25E5%25B7%25A6&event_driver_id=all&operation=hide HTTP/1.1" 200 5
0:0:0:0:0:0:0:1 - - [09/Jun/2022:12:31:10 +0800] "GET /webgl_engine_2020/interface.jsp?channel=1100557989358400&user_name=NoName&pass_word=NoPassword&process_bar=1&language=chinese&command=component&method=update_render&aspect=2.161662817551963&component=-1&body=-1&face=-1&loop=-1&edge=-1&vertex=-1&point=-1&depth=-1.00000&value=-1.00000&loaded_length=0_0_-1_-1&requesting_number=0_1&data_time=1&render_time=1&read_time=0&render_interval=1654749070367&precision=true&length=442 HTTP/1.1" 200 918
0:0:0:0:0:0:0:1 - - [09/Jun/2022:12:31:10 +0800] "GET /webgl_engine_2020/interface.jsp?channel=1100557989358400&user_name=NoName&pass_word=NoPassword&process_bar=1&language=chinese&command=component&method=update_render&loaded_length=1_232002_4_0&requesting_number=3_1&data_time=1&render_time=6&read_time=0&render_interval=58&precision=true&length=315 HTTP/1.1" 200 562
0:0:0:0:0:0:0:1 - - [09/Jun/2022:12:31:10 +0800] "GET /webgl_engine_2020/interface.jsp?channel=1100557989358400&user_name=NoName&pass_word=NoPassword&process_bar=1&language=chinese&command=component&method=update_render&loaded_length=4_6780176_4_0&requesting_number=0_2&data_time=0&render_time=2&read_time=0&render_interval=8&precision=true&length=315 HTTP/1.1" 200 730
0:0:0:0:0:0:0:1 - - [09/Jun/2022:12:31:10 +0800] "GET /webgl_engine_2020/interface.jsp?channel=1100557989358400&user_name=NoName&pass_word=NoPassword&process_bar=1&language=chinese&command=component&method=event&event_component_id=218&event_driver_id=0&operation=audio&fresh=0.28893162049209686 HTTP/1.1" 200 5
0:0:0:0:0:0:0:1 - - [09/Jun/2022:12:31:10 +0800] "GET /webgl_engine_2020/interface.jsp?channel=1100557989358400&user_name=NoName&pass_word=NoPassword&process_bar=1&language=chinese&command=component&method=event&event_component_id=238&event_driver_id=0&random=0.3844079616434888&operation=file&file=no_box.jpg HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [09/Jun/2022:12:31:10 +0800] "GET /webgl_engine_2020/interface.jsp?channel=1100557989358400&user_name=NoName&pass_word=NoPassword&process_bar=1&language=chinese&command=component&method=event&event_component_id=238&event_driver_id=0&random=0.47495129067664443&operation=file&file=front.jpg HTTP/1.1" 302 -
