127.0.0.1 - - [23/Aug/2021:22:42:44 +0800] "GET / HTTP/1.1" 404 1068
0:0:0:0:0:0:0:1 - - [23/Aug/2021:22:42:47 +0800] "GET /webgl_engine_2020/chinese/draw.jsp HTTP/1.1" 200 2426
0:0:0:0:0:0:0:1 - - [23/Aug/2021:22:42:47 +0800] "GET /webgl_engine_2020/interface.jsp?function_name=construct_render_object HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [23/Aug/2021:22:42:47 +0800] "GET /webgl_engine_2020/interface.jsp?function_name=construct_render_object&function_date=1629023286486 HTTP/1.1" 200 167285
0:0:0:0:0:0:0:1 - - [23/Aug/2021:22:42:47 +0800] "GET /favicon.ico HTTP/1.1" 404 1079
0:0:0:0:0:0:0:1 - - [23/Aug/2021:22:42:50 +0800] "GET /webgl_engine_2020/ HTTP/1.1" 200 772
0:0:0:0:0:0:0:1 - - [23/Aug/2021:22:42:52 +0800] "GET /webgl_engine_2020/upload.jsp?format=External HTTP/1.1" 200 6915
0:0:0:0:0:0:0:1 - - [23/Aug/2021:22:42:54 +0800] "GET /webgl_engine_2020/chinese/draw.jsp?scene_name=cad&coordinate=location.xyz.txt&sub_directory=A159-SR-302A HTTP/1.1" 200 2450
0:0:0:0:0:0:0:1 - - [23/Aug/2021:22:42:54 +0800] "GET /webgl_engine_2020/interface.jsp?function_name=construct_render_object HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [23/Aug/2021:22:43:34 +0800] "GET /webgl_engine_2020/interface.jsp?channel=creation&command=creation&language=chinese&user_name=NoName&pass_word=NoPassword&scene_name=test&link_name=&change_part=&change_component=&part_type=&sub_directory=&coordinate=xyz&max_loading_number=5 HTTP/1.1" 200 533
0:0:0:0:0:0:0:1 - - [23/Aug/2021:22:43:34 +0800] "GET /webgl_engine_2020/interface.jsp?channel=creation&command=creation&language=chinese&user_name=NoName&pass_word=NoPassword&scene_name=cad&link_name=&change_part=&change_component=&part_type=&sub_directory=A159-SR-302A&coordinate=location.xyz.txt&max_loading_number=5 HTTP/1.1" 200 553
0:0:0:0:0:0:0:1 - - [23/Aug/2021:22:43:36 +0800] "GET /webgl_engine_2020/interface.jsp?channel=creation&command=creation&language=chinese&user_name=NoName&pass_word=NoPassword&scene_name=test&link_name=&change_part=&change_component=&part_type=&sub_directory=&coordinate=xyz&max_loading_number=5 HTTP/1.1" 200 533
0:0:0:0:0:0:0:1 - - [23/Aug/2021:22:43:53 +0800] "GET /webgl_engine_2020/chinese/draw.jsp HTTP/1.1" 200 2426
0:0:0:0:0:0:0:1 - - [23/Aug/2021:22:43:53 +0800] "GET /webgl_engine_2020/interface.jsp?function_name=construct_render_object HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [23/Aug/2021:22:43:53 +0800] "GET /favicon.ico HTTP/1.1" 404 1079
0:0:0:0:0:0:0:1 - - [23/Aug/2021:22:43:54 +0800] "GET /webgl_engine_2020/interface.jsp?channel=creation&command=creation&language=chinese&user_name=NoName&pass_word=NoPassword&scene_name=test&link_name=&change_part=&change_component=&part_type=&sub_directory=&coordinate=xyz&max_loading_number=5 HTTP/1.1" 200 533
0:0:0:0:0:0:0:1 - - [23/Aug/2021:22:43:54 +0800] "GET /webgl_engine_2020/interface.jsp?channel=buffer&file=scene_directory%252Ftest_directory%252Ftest%252Fproxy_initialization.gzip_text&length=36584&date=1629027215214&original=http%253A%252F%252Flocalhost%253A8080%252Fwebgl_engine_2020%252Finterface.jsp HTTP/1.1" 200 36628
0:0:0:0:0:0:0:1 - - [23/Aug/2021:22:43:54 +0800] "GET /webgl_engine_2020/interface.jsp?command=component&method=update_render&channel=3&user_name=NoName&pass_word=NoPassword&language=chinese&aspect=2.1611226611226613&component=-1&body=0;-1&face=0;-1&loop=0;-1&edge=0;-1&vertex=0;-1&point=-1&depth=-1.00000&value=-1.00000&loaded_length=0_0_-1_-1&requesting_number=0_1&data_time=1&render_time=1&read_time=0&render_interval=1629729834373&length=401 HTTP/1.1" 200 755
0:0:0:0:0:0:0:1 - - [23/Aug/2021:22:43:54 +0800] "GET /webgl_engine_2020/interface.jsp?command=component&method=update_render&channel=3&user_name=NoName&pass_word=NoPassword&language=chinese&x=-0.24673740934385258&y=-0.09566686244619116&requesting_number=1_1&data_time=1&render_time=1&read_time=0&render_interval=152&length=283 HTTP/1.1" 200 558
0:0:0:0:0:0:0:1 - - [23/Aug/2021:22:43:54 +0800] "GET /webgl_engine_2020/interface.jsp?channel=buffer&file=package_directory%252Fpackage_84.gzip_text&length=116715&date=1626847376345&original=http%253A%252F%252Flocalhost%253A8080%252Fwebgl_engine_2020%252Finterface.jsp HTTP/1.1" 200 116839
0:0:0:0:0:0:0:1 - - [23/Aug/2021:22:43:54 +0800] "GET /webgl_engine_2020/interface.jsp?command=component&method=update_render&channel=3&user_name=NoName&pass_word=NoPassword&language=chinese&x=-0.2553954464702598&y=-0.02498054061288646&loaded_length=1_116715_12_0&requesting_number=2_2&data_time=0&render_time=3&read_time=0&render_interval=154&length=310 HTTP/1.1" 200 956
0:0:0:0:0:0:0:1 - - [23/Aug/2021:22:43:54 +0800] "GET /webgl_engine_2020/interface.jsp?channel=buffer&file=part_directory%252Frender_15%252Fpart_0%252Fmesh.face0.gzip_binary&length=247344&date=1626846886312&original=http%253A%252F%252Flocalhost%253A8080%252Fwebgl_engine_2020%252Finterface.jsp HTTP/1.1" 200 247596
0:0:0:0:0:0:0:1 - - [23/Aug/2021:22:43:54 +0800] "GET /webgl_engine_2020/interface.jsp?channel=buffer&file=part_directory%252Frender_15%252Fpart_0%252Fmesh.point0.gzip_binary&length=108669&date=1626846886771&original=http%253A%252F%252Flocalhost%253A8080%252Fwebgl_engine_2020%252Finterface.jsp HTTP/1.1" 200 108785
0:0:0:0:0:0:0:1 - - [23/Aug/2021:22:43:54 +0800] "GET /webgl_engine_2020/interface.jsp?command=component&method=update_render&channel=3&user_name=NoName&pass_word=NoPassword&language=chinese&x=-0.3265837517318305&y=0.19955248168114004&loaded_length=3_4320215_12_0&requesting_number=0_3&data_time=1&render_time=16&read_time=0&render_interval=167&length=311 HTTP/1.1" 200 595
0:0:0:0:0:0:0:1 - - [23/Aug/2021:22:43:54 +0800] "GET /webgl_engine_2020/interface.jsp?channel=3&user_name=NoName&pass_word=NoPassword&language=chinese&command=component&method=event&event_component_id=26&event_driver_id=0&operation=audio&fresh=0.6455651972062353 HTTP/1.1" 200 5
0:0:0:0:0:0:0:1 - - [23/Aug/2021:22:43:55 +0800] "GET /webgl_engine_2020/interface.jsp?command=component&method=update_render&channel=3&user_name=NoName&pass_word=NoPassword&language=chinese&x=-0.3236977393563615&y=0.20371050061251095&body=-1;-1&face=-1;-1&loop=-1;-1&edge=-1;-1&vertex=-1;-1&requesting_number=6_4&data_time=0&render_time=78&read_time=2&render_interval=238&length=339 HTTP/1.1" 200 567
0:0:0:0:0:0:0:1 - - [23/Aug/2021:22:43:55 +0800] "GET /webgl_engine_2020/interface.jsp?channel=3&user_name=NoName&pass_word=NoPassword&language=chinese&command=component&method=event&event_component_id=57&event_driver_id=0&random=0.530253338807164&operation=file&file=no_box.jpg HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [23/Aug/2021:22:43:55 +0800] "GET /webgl_engine_2020/interface.jsp?channel=3&user_name=NoName&pass_word=NoPassword&language=chinese&command=component&method=event&event_component_id=57&event_driver_id=0&random=0.1452686743011964&operation=file&file=front.jpg HTTP/1.1" 302 -
